terms,doc_list
advection,[]
aerosol,[]
air ,[]
albedo,[]
anemometer,[]
anticyclonic,[]
aurora,[]
azores high,[]
barometer,[]
barometric pressure,[]
beaufort wind scale,[]
bise,[]
bora,[]
breeze,[]
cirrus clouds,[]
climate,[]
clouds,[]
cloudy,[]
condensation,[]
condensation trail,[]
convection,[]
convergence,[]
coriolis force,[]
cumulus clouds,[]
cyclogenesis,[]
cyclonic,[]
dawn,[]
dew point,[]
dog days,[]
downslope wind,[]
dusk,[]
evaporation,[]
fat dormouse day,[]
felt temperature,[]
foehn,[]
fog,[]
foggy,[]
freezing rain,[]
front,[808203]
frost day,[]
global radiation,[]
global windsystems,[]
gravity wind,[]
gulf stream,[]
hail,[]
halo,[]
heat lightning,[]
heavy storm,[]
high pressure system,[]
hoar frost,[]
humid,[]
humidity,"[5241, 6037, 6137, 6190, 6559, 7088, 7641, 7858, 10129, 11763, 12402, 12574, 13142, 13356, 14021, 1106253, 1106560, 1106988, 1107834, 1107960, 1108144, 1109575, 1110377, 1110410, 1110421, 1110457, 1112349, 1112798, 1112837, 1113358, 1113720, 1114577]"
hurricane,[]
ice day,[]
ice pellets,[]
ice saints,[]
inversion,[]
inversion weather condition,[]
island low,[]
jetstream,[]
key day,[]
labrador current,[]
layer clouds,[]
leeward,[]
lightning,[]
low pressure system,[]
low stratus,[]
meridional,[]
mist,[]
mistral,[]
monsoon,[]
mos,[]
noctilucent clouds,[]
north atlantic oscillation (nao),[]
occlusion,[]
ozone,[]
pressure,"[5241, 6037, 6190, 11763, 13142, 13356, 1109575, 1110410, 1112349, 1112837, 1113358]"
radar,[]
rain,"[6037, 6559, 6559, 7088, 7858, 7858, 12574, 134382, 134549, 141447, 1106253, 1106253, 1108380, 1108380, 1109575, 1110377, 1110410, 1110421, 1110421, 1112349, 1114577, 1114577]"
rainbow,[]
rainy,[]
sheep-chill,[]
shower,"[7088, 1106253, 1106253, 1108380, 1108380, 1109575, 1110377, 1110410, 1110421, 1112349, 1114577]"
sirocco,[]
smog,[]
snow,"[606597, 606597]"
snowflake,[]
snowing,[]
snowy,[]
solar energy,[]
storm,[]
storming,[]
stratiform clouds,[]
summer lightning,[]
summerday,[]
sun,"[56391, 911905, 1084290]"
sunny,"[413373, 444793]"
sunshine,[]
temperature,"[6137, 6927, 7641, 7858, 10129, 12402, 12574, 14021, 1106253, 1106560, 1106817, 1106988, 1107834, 1107960, 1108380, 1110377, 1110421, 1110457, 1112798, 1113720, 1114577]"
thunder,[]
thunderstorms,[]
tornado,[]
trade wind,[]
tropical day,[]
tropical night,[]
typhoon,[]
weather,"[5241, 6037, 6190, 11763, 13142, 13356, 149650, 931140, 940974, 1109575, 1110410, 1112349, 1112837, 1113358]"
weather lore,[]
wind,"[5241, 6037, 6137, 6190, 6559, 7088, 7641, 7858, 10129, 11763, 12574, 13142, 13356, 134382, 134549, 1106253, 1106560, 1106988, 1107960, 1108380, 1109575, 1110377, 1110410, 1110421, 1110457, 1112349, 1112837, 1113358, 1113720]"
wind chill,[]
wind power,[]
windward,[]
windy,[]
